?elak.	Čelak.
?tepánková	Štěpánková
A.Beetle	Beetle
A.C.Araujo	A.C.Araújo
A.Cronquist	Cronquist
A.K.Pradeep	Pradeep
A.Love	Á.Löve
A.St.Hil.	A.St.-Hil.
A.V.Dengubenko	Dengub.
A.W.Wood	Alph.Wood
Adamovic	Adamović
Arv.-Thouv.	Arv.-Touv.
Aschers.	Asch.
Aubteville	Aubrev.
auct.	
B.L Burtt	B.L.Burtt
B.M.A.Severo	Severo
Baebni	Baehni
Bergg.	Berggr.
Blocki	Błocki
Boeck.	Boeckeler
Bornm..	Bornm.
Bory in Lem.	Bory
Bure?	Bureš
C.Acedo	Acedo
C.Baden	Baden
C.Ch.	C.Chr.
C.E.Hubbard	C.E.Hubb.
C.Martic.	Martic.
C.O.Grassl	Grassl
Calderon	Calderón
Caruel.	Caruel
Catasus	Catasús
Celak.	Čelak.
Cernjavski	Černjavski
Ceyn.-Gield	Ceyn.-Giełd
Chapm..	Chapm.
Chum	Chun
Cors.	Coss.
D.Don.	D.Don
D.M.Hines	Hines
DeWild.	De Wild.
Dickore	Dickoré
Dogan	Doğan
Doll	Döll
E.Desv.	É.Desv.
E.G.Gon?.	E.G.Gonç.
El-Hadidy	Hadidy
Engel	Engl.
F.M.Vazquez	F.M.Vázquez
Freckman	Freckmann
Fri?	Frič
Frieland	Friedl.
Fries	Fr.
Gajic	Gajić
Glaziou	Glaz.
Griesb.	Griseb.
Gu?ul.	Gușul.
Gusul.	Gușul.
H.Liou	H.Liu
H.Möller	H.Moeller
Hadac	Hadač
Hariot	Har.
Hegetschw	Hegetschw.
Heuffl.	Heufl.
ined.	
J.Herrm.	Herrm.
J.König	J.Koenig
J.Le Conte	Leconte
J.R.Xue	Hsueh f.
J.Smith	J.Sm.
J.V.Suringar	Valck.Sur.
Jacq.-Fel.	Jacq.-Fél.
Kiec	Kieć
Klf.	Kaulf.
Komarov	Kom.
Kon.	J.Koenig
Korlahalli	Korlah.
Kornas	Kornaś
Kozuharov	Kožuharov
L.K.Safina	Saphina
L.K.Saphina	Saphina
L.Liou	L.Liu
Legrand	Le Grand
Lemaire	Lem.
London~o	Londoño
M.E.Barkworth	Barkworth
Makloskie	Macloskie
Malsum.	Matsum.
Möller	Moeller
Müll.Berol	Müll.Berol.
Nabelek	Nábělek
Nábelek	Nábělek
O.Ktze.	Kuntze
O.Seberg	Seberg
Ortega	Ort.
Pabre?a	Pabrėža
Pancic	Pančić
Pawl.	Pawł.
PIanch.	Planch.
Pilger	Pilg.
Prodán	Prodan
R.Brown	R.Br.
R.H.Miau	R.H.Miao
R.M.Harper.	R.M.Harper
R.Stover	R.H.Stover
Rafin.	Raf.
Ravarut	Rǎvǎrut
Rikll	Rikli
Roehl.	Röhl.
S.Mishra	S.Misra
S.Y.Liang	S.Yun Liang
Safina	Saphina
Sath.Kumar	C.S.Kumar
Savul.	Săvul.
Seg.	Ség.
Serb.	Şerb.
Skalicky	Skalický
Sojak	Soják
Stancík	Stančík
T.A.William	T.A.Williams
T.Holm	Holm
Trotzky	Korn.-Trotzky
Tuerpe	Türpe
Und.	Underw.
Urban	Urb.
Val.	Valeton
Van den Berghen	Vanden Berghen
Vasilchenko	Vassilcz.
Vasil'chenko	Vassilcz.
Wen L.Chen	W.L.Chen
Wo?.	Woł.
Wol.	Woł.
Wood	Alph.Wood
Yurtsev	Jurtzev
Zapal.	Zapał.
Zlinska	Zlinská
Zuloaga Morrone	Zuloaga & Morrone
A.J.da Silva	A.J.Silva
AIL	All.
Ait.	Aiton
Alemao	Allemão
Bl.	Blume
Beavois	P.Beauv.
Bge.	Bunge
Bioss	Boiss.
Bl	Blatt.
Bn	Bon
D.C.	DC.
Hogl.	Hoogland
Hooker f.	Hook.f.
Hunboldt	Humb.
L:	L.
Linn	L.
Linn.	L.
Linnaeus	L.
Linne	L.
Curt.	Curtis
Swahari Sasibushan	Swahari
Scanag.	Scan.
Herbb.	Herb.
S.E.Verhoek	Verh.-Will.
Schrad.Cat.Goett.	Schrad.
J.Rodr.Salvador	J.Rodr.
Cathelineau	Cathel.
Galeano-Garces	Galeano
Galeano-Garcés	Galeano
Th. & H.Durand	T.Durand & H.Durand
Ast	Jovet-Ast
P.P.Gritsenko	P.P.Gritz.
Salm	Salm-Dyck
Kunth	XXKunth
Deck.-Walt.	D.S.Decker
T.A. & T.K.Todsen	T.A.Todsen & Todsen
M.F.F.da Silva 	M.F.F.Silva
S.González Elizondo	S.González
T.Ruiz Zapata	T.Ruíz
Rosana Romero	R.Romero
J.F.Chen	Jin F.Chen
Amaya-Márquez 	M.Amaya
Schultze-Kraft	Schultze-Kr.
L.D.de Schweinitz	Schwein.
Villa Carenzo	Villa
Crovetto	Mart.Crov.
Auct.	
Anon.	
Marc Pignal	M.Pignal
