Agapanthaceae	Liliaceae
Agavaceae	Asparagaceae
Alliaceae	Liliaceae
Amaryllidaceae	Liliaceae
Anthericaceae	Liliaceae
Aphyllanthaceae	Asparagaceae
Asclepiadaceae	Apocynaceae
Asphodelaceae	Xanthorrhoeaceae
Bombacaceae	Malvaceae
Cuscutaceae	Convolvulaceae
Epacridaceae	Ericaceae
Hemerocallidaceae	Xanthorrhoeaceae
Hesperocallidaceae	Asparagaceae
Hyacinthaceae	Asparagaceae
Hydrocharitaceae	Alismataceae
Illecebraceae	Caryophyllaceae
Illiciaceae	Schisandraceae
Laxmanniaceae	Asparagaceae
Limnocharitaceae	Alismataceae
Luzuriagaceae	Alstroemeriaceae
Myoporaceae 	Scrophulariaceae
Myrsinaceae	Primulaceae
Polygalaceae	Leguminosae
Posidoniaceae	Potamogetonaceae
Ruscaceae	Asparagaceae
Sparganiaceae	Typhaceae
Sterculiaceae	Malvaceae
Styracaceae	Symplocaceae
Themidaceae	Asparagaceae
Verbenaceae	Lamiaceae
